"","X","abalone_number","Intercept","umol.L.sec","Temp.C"
"1",1,"ab1_hw_channel10_Trial1_posthw_11_24_20_O2",191.446581564586,-0.00499708030729187,21.136402173913
"2",2,"ab1_hw_channel10_trial5_final_12_12_20_O2",197.640898894329,-0.00679267953148999,17.4871978021978
"3",3,"ab1_hw_channel3_Trial11_prehw_10_30_20_O2",176.8898441605,-0.00485225485661429,17.5710697674419
"4",4,"ab10_hw_channel9_Trial6_prehw_10_30_20_O2",206.181278895558,-0.00908523409363741,17.4398023255814
"5",5,"ab11_hw_channel3_Trial5_posthw_11_25_20_O2",187.488544642857,-0.00561607142857137,21.1277378640777
"6",6,"ab11_hw_channel3_Trial5_prehw_10_29_20_O2",190.611524043716,-0.00683606557377049,17.6084050632911
"7",7,"ab12_amb_channel10_Trial3_prehw_10_29_20_O2",189.974489757718,-0.00929812008751317,17.6254096385542
"8",8,"ab12_amb_channel2_Trial4_posthw_11_24_20_O2",206.752776544099,-0.0146552563364055,17.3918390804598
"9",9,"ab12_amb_channel7_trial4_final_12_11_20_O2",173.455677607656,-0.0166875871496924,17.4817951807229
"10",10,"ab13_hw_channel3_Trial6_prehw_10_30_20_O2",183.91061624504,-0.00996673147081414,17.6221279069767
"11",11,"ab14_amb_channel6_trial4_final_12_11_20_O2",172.982929547654,-0.0103048097081116,17.3954337349398
"12",12,"ab14_amb_channel7_Trial5_prehw_10_29_20_O2",185.873958636364,-0.00975257575757574,17.5713846153846
"13",13,"ab14_amb_channel7_Trial7_posthw_11_25_20_O2",194.698410225954,-0.00975269621764002,17.5805840707965
"14",14,"ab15_hw_channel7_Trial8_prehw_10_30_20_O2",187.128447430206,-0.0110578630581405,17.5813170731707
"15",15,"ab16_hw_channel10_Trial4_prehw_10_29_20_O2",200.114554031787,-0.00850017720131533,17.5205517241379
"16",16,"ab17_hw_channel1_trial1_final_12_11_20_O2",227.124056272675,-0.00855272359219724,17.3914712643678
"17",17,"ab17_hw_channel5_Trial2_posthw_11_24_20_O2",206.306307060207,-0.00738110569811563,20.9966296296296
"18",18,"ab17_hw_channel8_Trial9_prehw_10_30_20_O2",202.295677998413,-0.0101393416181914,17.5346419753086
"19",19,"ab18_amb_channel1_Trial7_posthw_11_25_20_O2",217.114421377268,-0.0140427767493521,17.4782477876106
"20",20,"ab18_amb_channel3_trial3_final_12_11_20_O2",189.665389824149,-0.0139592045890937,17.445091954023
"21",21,"ab18_amb_channel5_Trial5_prehw_10_29_20_O2",202.638481414141,-0.0115056565656566,17.4306538461538
"22",22,"ab19_amb_channel1_Trial8_prehw_10_30_20_O2",212.922453384453,-0.0106570811613911,17.5873086419753
"23",23,"ab19_amb_channel3_Trial8_posthw_11_25_20_O2",195.759875259486,-0.00836753257986391,17.5439440993789
"24",24,"ab19_amb_channel7_trial6_final_12_12_20_O2",192.136262222858,-0.0096944063274252,17.5485607476636
