SampleID,TA,Mass,Sample.Index,TA_evap,date,treatment
Tank10,2184.292157,60.3451,8,2175.589798,2020-11-09,amb
Tank10,2246.205972,59.7253,28,2212.076787,2020-11-02,amb
Tank10,2086.717351,59.5512,8,2078.403736,2020-11-16,amb
Tank10,2184.877978,59.8179,8,2176.173285,2020-11-23,amb
Tank10,2525.867475,59.7954,7,2517.236948,2020-12-07,amb
Tank10,2853.720584,60.0249,9,2840.73437,2020-12-16,amb
Tank11,2175.436834,59.7681,9,2165.537236,2020-11-09,amb
Tank11,2270.050318,59.7387,29,2234.301494,2020-11-02,amb
Tank11,2084.873306,59.8544,9,2075.385828,2020-11-16,amb
Tank11,2180.525123,60.1013,9,2170.60237,2020-11-23,amb
Tank11,2513.465541,59.5917,8,2503.451735,2020-12-07,amb
Tank11,2855.102695,60.4308,10,2840.494438,2020-12-16,amb
Tank12,2175.229169,60.4162,10,2164.099514,2020-11-09,hw
Tank12,2268.686135,59.6209,30,2231.703618,2020-11-02,hw
Tank12,2092.128935,60.2174,10,2081.424466,2020-11-16,hw
Tank12,2240.779867,60.0156,10,2229.31482,2020-11-23,hw
Tank13,2184.281272,60.213,11,2171.870583,2020-11-09,hw
Tank13,2274.257176,59.8426,31,2235.926999,2020-11-02,hw
Tank13,2103.197764,60.1183,11,2091.247777,2020-11-16,hw
Tank13,2190.877096,59.8294,11,2178.42893,2020-11-23,hw
Tank14,2179.199528,60.3362,12,2165.587265,2020-11-09,amb
Tank14,2271.101106,59.9872,32,2231.57043,2020-11-02,amb
Tank14,2091.05874,59.6733,12,2077.997044,2020-11-16,amb
Tank14,2179.109916,59.7954,12,2165.498213,2020-11-23,amb
Tank14,2524.634055,59.9625,9,2513.14539,2020-12-07,amb
Tank14,2851.333215,59.6208,11,2835.132458,2020-12-16,amb
Tank15,2181.873164,59.9479,13,2167.013642,2020-11-09,hw
Tank15,2274.05878,59.9304,33,2233.222707,2020-11-02,hw
Tank15,2090.745747,60.0059,13,2076.506843,2020-11-16,hw
Tank15,2205.123867,60.4525,13,2190.105998,2020-11-23,hw
Tank15,2522.746355,60.3669,10,2509.838614,2020-12-07,hw
Tank15,2848.103983,59.6669,12,2830.313441,2020-12-16,hw
Tank16,2173.164111,59.7236,14,2157.139645,2020-11-09,hw
