block,abalone_number,size_class,treatment,weight,volume,chamber.channel,temp,period,BLANK
A1,ab4_hw_channel2_Trial1_prehw_10_29_20_O2,30,hw,0.85674,623,2,17.5,prehw,0
A1,ab9_amb_channel6_Trial1_prehw_10_29_20_O2,30,amb,0.451092,628,6,17.5,prehw,0
A1,ab23_hw_channel5_Trial1_prehw_10_29_20_O2,30,hw,0.4248,629,5,17.5,prehw,0
A1,ab41_hw_channel4_Trial1_prehw_10_29_20_O2,60,hw,2.599524,602,4,17.5,prehw,0
A1,ab50_amb_channel8_Trial1_prehw_10_29_20_O2,60,amb,3.464343,601,8,17.5,prehw,0
A1,ab51_hw_channel10_Trial1_prehw_10_29_20_O2,60,hw,2.245521,614,10,17.5,prehw,0
A1,ab68_amb_channel1_Trial1_prehw_10_29_20_O2,90,amb,6.610932,574,1,17.5,prehw,0
A1,ab71_hw_channel9_Trial1_prehw_10_29_20_O2,90,hw,8.069199,556,9,17.5,prehw,0
A1,ab77_hw_channel3_Trial1_prehw_10_29_20_O2,90,hw,8.06826,565,3,17.5,prehw,0
A1,blank_amb_channel7_Trial1_prehw_10_29_20_O2,,amb,,650,7,17.5,prehw,1
A10,ab3_amb_channel9_Trial10_prehw_10_30_20_O2,30,amb,0.932799,623,9,17.5,prehw,0
A10,ab6_amb_channel7_Trial10_prehw_10_30_20_O2,30,amb,0.768474,623,7,17.5,prehw,0
A10,ab21_amb_channel2_Trial10_prehw_10_30_20_O2,30,amb,0.456726,619,2,17.5,prehw,0
A10,ab39_hw_channel8_Trial10_prehw_10_30_20_O2,60,hw,2.352567,616,8,17.5,prehw,0
A10,ab44_hw_channel4_Trial10_prehw_10_30_20_O2,60,hw,3.358236,604,4,17.5,prehw,0
A10,ab49_amb_channel10_Trial10_prehw_10_30_20_O2,60,amb,2.986392,605,10,17.5,prehw,0
A10,ab61_hw_channel5_Trial10_prehw_10_30_20_O2,90,hw,8.05887,558,5,17.5,prehw,0
A10,ab62_amb_channel1_Trial10_prehw_10_30_20_O2,90,amb,8.299254,552,1,17.5,prehw,0
A10,ab79_amb_channel3_Trial10_prehw_10_30_20_O2,90,amb,7.57059,563,3,17.5,prehw,0
A10,blank_hw_channel6_Trial10_prehw_10_30_20_O2,,hw,,650,6,17.5,prehw,1
A11,ab1_hw_channel3_Trial11_prehw_10_30_20_O2,30,hw,0.346863,623,3,17.5,prehw,0
A11,ab5_amb_channel4_Trial11_prehw_10_30_20_O2,30,amb,0.643587,625,4,17.5,prehw,0
A11,ab25_amb_channel7_Trial11_prehw_10_30_20_O2,30,amb,0.516822,627,7,17.5,prehw,0
A11,ab33_amb_channel5_Trial11_prehw_10_30_20_O2,60,amb,2.720655,606,5,17.5,prehw,0
A11,ab40_hw_channel2_Trial11_prehw_10_30_20_O2,60,hw,2.401395,601,2,17.5,prehw,0
A11,ab58_hw_channel9_Trial11_prehw_10_30_20_O2,60,hw,2.370408,656,9,17.5,prehw,0
A11,ab69_amb_channel8_Trial11_prehw_10_30_20_O2,90,amb,8.195025,555,8,17.5,prehw,0
A11,ab78_hw_channel1_Trial11_prehw_10_30_20_O2,90,hw,8.022249,563,1,17.5,prehw,0
A11,ab85_amb_channel10_Trial11_prehw_10_30_20_O2,90,amb,7.707684,565,10,17.5,prehw,0
A11,blank_amb_channel6_Trial11_prehw_10_30_20_O2,,amb,,650,6,17.5,prehw,1
A3,ab8_hw_channel8_Trial3_prehw_10_29_20_O2,30,hw,0.902751,627,8,17.5,prehw,0
A3,ab12_amb_channel10_Trial3_prehw_10_29_20_O2,30,amb,0.775986,628,10,17.5,prehw,0
A3,ab20_hw_channel9_Trial3_prehw_10_29_20_O2,30,hw,0.714951,619,9,17.5,prehw,0
A3,ab32_hw_channel7_Trial3_prehw_10_29_20_O2,60,hw,2.721594,605,7,17.5,prehw,0
A3,ab57_amb_channel3_Trial3_prehw_10_29_20_O2,60,amb,3.069963,607,3,17.5,prehw,0
A3,ab60_hw_channel2_Trial3_prehw_10_29_20_O2,60,hw,2.154438,610,2,17.5,prehw,0
A3,ab65_hw_channel4_Trial3_prehw_10_29_20_O2,90,hw,8.480481,544,4,17.5,prehw,0
A3,ab73_amb_channel1_Trial3_prehw_10_29_20_O2,90,amb,7.910508,565,1,17.5,prehw,0
A3,ab80_hw_channel5_Trial3_prehw_10_29_20_O2,90,hw,7.568712,569,5,17.5,prehw,0
A3,blank_hw_channel6_Trial3_prehw_10_29_20_O2,,hw,,630,6,17.5,prehw,1
A4,ab16_hw_channel10_Trial4_prehw_10_29_20_O2,30,hw,0.691476,631,10,17.5,prehw,0
A4,ab27_amb_channel1_Trial4_prehw_10_29_20_O2,30,amb,0.523395,631,1,17.5,prehw,0
A4,ab29_amb_channel2_Trial4_prehw_10_29_20_O2,30,amb,0.464238,618,2,17.5,prehw,0
A4,ab35_amb_channel4_Trial4_prehw_10_29_20_O2,60,amb,2.438016,610,4,17.5,prehw,0
A4,ab42_amb_channel6_Trial4_prehw_10_29_20_O2,60,amb,2.82864,615,6,17.5,prehw,0
A4,ab46_amb_channel8_Trial4_prehw_10_29_20_O2,60,amb,2.982636,605,8,17.5,prehw,0
A4,ab75_hw_channel9_Trial4_prehw_10_29_20_O2,90,hw,8.758425,555,9,17.5,prehw,0
A4,ab76_amb_channel3_Trial4_prehw_10_29_20_O2,90,amb,7.387485,570,3,17.5,prehw,0
A4,ab89_hw_channel7_Trial4_prehw_10_29_20_O2,90,hw,7.919898,567,7,17.5,prehw,0
A4,blank_amb_channel5_Trial4_prehw_10_29_20_O2,,amb,,650,5,17.5,prehw,1
A5,ab11_hw_channel3_Trial5_prehw_10_29_20_O2,30,hw,0.479262,627,3,17.5,prehw,0
A5,ab14_amb_channel7_Trial5_prehw_10_29_20_O2,30,amb,0.591003,630,7,17.5,prehw,0
A5,ab18_amb_channel5_Trial5_prehw_10_29_20_O2,30,amb,0.729975,626,5,17.5,prehw,0
A5,ab34_amb_channel9_Trial5_prehw_10_29_20_O2,60,amb,2.664315,562,9,17.5,prehw,0
A5,ab37_amb_channel1_Trial5_prehw_10_29_20_O2,60,amb,2.779812,605,1,17.5,prehw,0
A5,ab54_hw_channel8_Trial5_prehw_10_29_20_O2,60,hw,2.839908,609,8,17.5,prehw,0
A5,ab66_amb_channel6_Trial5_prehw_10_29_20_O2,90,amb,7.328328,577,6,17.5,prehw,0
A5,ab74_amb_channel10_Trial5_prehw_10_29_20_O2,90,amb,7.952763,572,10,17.5,prehw,0
A5,ab86_hw_channel4_Trial5_prehw_10_29_20_O2,90,hw,9.895554,517,4,17.5,prehw,0
A5,blank_hw_channel2_Trial5_prehw_10_29_20_O2,,hw,,650,2,17.5,prehw,1
A6,ab10_hw_channel9_Trial6_prehw_10_30_20_O2,30,hw,0.708378,625,9,17.5,prehw,0
A6,ab13_hw_channel3_Trial6_prehw_10_30_20_O2,30,hw,0.924348,615,3,17.5,prehw,0
A6,ab30_amb_channel10_Trial6_prehw_10_30_20_O2,30,amb,0.53748,630,10,17.5,prehw,0
A6,ab43_hw_channel7_Trial6_prehw_10_30_20_O2,60,hw,2.911272,604,7,17.5,prehw,0
A6,ab52_hw_channel1_Trial6_prehw_10_30_20_O2,60,hw,2.79108,607,1,17.5,prehw,0
A6,ab53_hw_channel8_Trial6_prehw_10_30_20_O2,60,hw,2.402334,605,8,17.5,prehw,0
A6,ab63_amb_channel2_Trial6_prehw_10_30_20_O2,90,amb,7.810974,557,2,17.5,prehw,0
A6,ab72_hw_channel5_Trial6_prehw_10_30_20_O2,90,hw,8.417568,562,5,17.5,prehw,0
A6,ab90_hw_channel4_Trial6_prehw_10_30_20_O2,90,hw,7.697355,570,4,17.5,prehw,0
A6,blank_amb_channel6_Trial6_prehw_10_30_20_O2,,amb,,650,6,17.5,prehw,1
A7,ab7_amb_channel7_Trial7_prehw_10_30_20_O2,30,amb,0.602271,625,7,17.5,prehw,0
A7,ab22_hw_channel10_Trial7_prehw_10_30_20_O2,30,hw,0.879276,625,10,17.5,prehw,0
A7,ab26_amb_channel6_Trial7_prehw_10_30_20_O2,30,amb,0.75345,618,6,17.5,prehw,0
A7,ab38_hw_channel3_Trial7_prehw_10_30_20_O2,60,hw,2.41548,607,3,17.5,prehw,0
A7,ab47_amb_channel5_Trial7_prehw_10_30_20_O2,60,amb,3.111279,604,5,17.5,prehw,0
A7,ab56_amb_channel1_Trial7_prehw_10_30_20_O2,60,amb,2.91315,605,1,17.5,prehw,0
A7,ab64_amb_channel2_Trial7_prehw_10_30_20_O2,90,amb,7.254147,558,2,17.5,prehw,0
A7,ab82_hw_channel4_Trial7_prehw_10_30_20_O2,90,hw,7.426923,562,4,17.5,prehw,0
A7,ab84_hw_channel9_Trial7_prehw_10_30_20_O2,90,hw,8.238219,553,9,17.5,prehw,0
A7,blank_hw_channel8_Trial7_prehw_10_30_20_O2,,hw,,650,8,17.5,prehw,1
A8,ab15_hw_channel7_Trial8_prehw_10_30_20_O2,30,hw,0.859557,625,7,17.5,prehw,0
A8,ab19_amb_channel1_Trial8_prehw_10_30_20_O2,30,amb,0.449214,625,1,17.5,prehw,0
A8,ab24_hw_channel6_Trial8_prehw_10_30_20_O2,30,hw,0.843594,633,6,17.5,prehw,0
A8,ab31_amb_channel5_Trial8_prehw_10_30_20_O2,60,amb,2.699058,605,5,17.5,prehw,0
