period,abalone_ID,weight,shell_length_mm,shell_length_cm,denominator,CI,size_class,treatment,tank_ID
receiving,1,3.11,28.02,2.802,21.99907361,1.41E-01,30,hw,8
receiving,2,6.67,37.04,3.704,50.81745766,1.31E-01,30,hw,15
receiving,3,9.43,44.7,4.47,89.314623,1.06E-01,30,amb,7
receiving,4,8.49,39.31,3.931,60.74480349,1.40E-01,30,hw,13
receiving,5,6.41,35.56,3.556,44.96610362,1.43E-01,30,amb,14
receiving,6,7.76,38.65,3.865,57.73623963,1.34E-01,30,amb,18
receiving,7,5.87,35.81,3.581,45.92117194,1.28E-01,30,amb,18
receiving,8,8.86,40.19,4.019,64.91633886,1.36E-01,30,hw,15
receiving,9,4.27,31.8,3.18,32.157432,1.33E-01,30,amb,14
receiving,10,7.22,37.29,3.729,51.85338949,1.39E-01,30,hw,13
receiving,11,5.19,33.49,3.349,37.56171755,1.38E-01,30,hw,8
receiving,12,8.02,38.06,3.806,55.13233062,1.45E-01,30,amb,18
receiving,13,9.3,39.71,3.971,62.61806761,1.49E-01,30,hw,13
receiving,14,6.2,34.93,3.493,42.61826416,1.45E-01,30,amb,14
receiving,15,9.39,40.62,4.062,67.02236633,1.40E-01,30,hw,8
receiving,16,6.61,36.07,3.607,46.92868954,1.41E-01,30,hw,13
receiving,17,4.16,31.41,3.141,30.98873222,1.34E-01,30,hw,15
receiving,18,7.72,37.46,3.746,52.56580494,1.47E-01,30,amb,14
receiving,19,4.02,30.91,3.091,29.53228257,1.36E-01,30,amb,7
receiving,20,7.92,38.76,3.876,58.23060538,1.36E-01,30,hw,8
receiving,21,4.19,31.36,3.136,30.84097946,1.36E-01,30,amb,7
receiving,22,9.15,39.36,3.936,60.97688986,1.50E-01,30,hw,15
receiving,23,4.12,31.01,3.101,29.8198393,1.38E-01,30,hw,8
receiving,24,8.82,38.87,3.887,58.7277851,1.50E-01,30,hw,15
receiving,25,5.32,33.2,3.32,36.594368,1.45E-01,30,amb,14
receiving,26,8.06,38.4,3.84,56.623104,1.42E-01,30,amb,7
receiving,27,4.94,33.63,3.363,38.03475315,1.30E-01,30,amb,7
receiving,28,6.3,35.24,3.524,43.76306182,1.44E-01,30,hw,13
receiving,29,4.59,30.13,3.013,27.3525232,1.68E-01,30,amb,18
receiving,30,5.08,33.64,3.364,38.06869254,1.33E-01,30,amb,18
receiving,31,38.85,62.65,6.265,245.9026596,1.58E-01,60,amb,5
receiving,32,27.18,60.68,6.068,223.4275464,1.22E-01,60,hw,17
receiving,33,28.96,60.63,6.063,222.875692,1.30E-01,60,amb,9
receiving,34,28.12,63.26,6.326,253.155614,1.11E-01,60,amb,5
receiving,35,24.54,59.03,5.903,205.6924493,1.19E-01,60,amb,11
receiving,36,27.57,63.14,6.314,251.7176871,1.10E-01,60,amb,5
receiving,37,29.7,64.2,6.42,264.609288,1.12E-01,60,amb,9
receiving,38,27.75,58.95,5.895,204.8572924,1.35E-01,60,hw,17
receiving,39,25.08,58.78,5.878,203.0900962,1.23E-01,60,hw,17
receiving,40,28.6,60.55,6.055,221.9946164,1.29E-01,60,hw,16
receiving,41,24.72,58.07,5.807,195.8192929,1.26E-01,60,hw,16
receiving,42,29.18,60.16,6.016,217.7326121,1.34E-01,60,amb,5
receiving,43,29.52,60.85,6.085,225.3106641,1.31E-01,60,hw,16
receiving,44,33.48,63.38,6.338,254.5990065,1.32E-01,60,hw,12
receiving,45,28.55,58.22,5.822,197.3406722,1.45E-01,60,hw,17
receiving,46,28.1,57.85,5.785,193.6021116,1.45E-01,60,amb,9
receiving,47,36.75,63.78,6.378,259.4499222,1.42E-01,60,amb,11
receiving,48,25.62,57.77,5.777,192.8000324,1.33E-01,60,amb,9
receiving,49,31.42,60.24,6.024,218.6023818,1.44E-01,60,amb,11
receiving,50,36.94,63.71,6.371,258.5966028,1.43E-01,60,amb,9
receiving,51,27.61,57.02,5.702,185.3880084,1.49E-01,60,hw,12
receiving,52,28.88,64.18,6.418,264.3620666,1.09E-01,60,hw,17
receiving,53,25.47,58.65,5.865,201.7455896,1.26E-01,60,hw,12
receiving,54,32.17,63.75,6.375,259.0839844,1.24E-01,60,hw,12
receiving,55,28.25,59.61,5.961,211.8153187,1.33E-01,60,hw,16
receiving,56,31.02,61.15,6.115,228.6595709,1.36E-01,60,amb,11
receiving,57,32.05,59.87,5.987,214.5990398,1.49E-01,60,amb,11
receiving,58,25.14,57.77,5.777,192.8000324,1.30E-01,60,hw,12
receiving,59,24.73,58.91,5.891,204.440563,1.21E-01,60,amb,5
receiving,60,26.33,59.26,5.926,208.1061628,1.27E-01,60,hw,16
receiving,61,97.44,83.05,8.305,572.8209726,1.70E-01,90,hw,4
receiving,62,92.29,84.39,8.439,600.9979085,1.54E-01,90,amb,20
receiving,63,83.39,83.65,8.365,585.3260271,1.42E-01,90,amb,10
receiving,64,72.04,77.26,7.726,461.1732532,1.56E-01,90,amb,10
receiving,65,88.56,85.15,8.515,617.3819909,1.43E-01,90,hw,6
receiving,66,81.03,84.52,8.452,603.7796414,1.34E-01,90,amb,3
receiving,67,86.88,82.85,8.285,568.6925491,1.53E-01,90,hw,6
receiving,68,70.11,81.98,8.198,550.9646584,1.27E-01,90,amb,3
receiving,69,86.26,86.93,8.693,656.9147886,1.31E-01,90,amb,3
receiving,70,84.37,84.56,8.456,604.6372828,1.40E-01,90,hw,19
receiving,71,89.97,81.37,8.137,538.7570274,1.67E-01,90,hw,19
receiving,72,94.94,83.98,8.398,592.2807408,1.60E-01,90,hw,4
receiving,73,96.85,84.93,8.493,612.6089992,1.58E-01,90,amb,20
receiving,74,80.64,82.07,8.207,552.7812457,1.46E-01,90,amb,3
receiving,75,87.3,83.8,8.38,588.480472,1.48E-01,90,hw,19
receiving,76,72.21,85.39,8.539,622.6170948,1.16E-01,90,amb,3
receiving,77,91.28,84.65,8.465,606.5699446,1.50E-01,90,hw,6
receiving,78,83.93,85.38,8.538,622.3983769,1.35E-01,90,hw,4
receiving,79,79.89,82.57,8.257,562.9461506,1.42E-01,90,amb,10
receiving,80,84.35,81.7,8.17,545.338513,1.55E-01,90,hw,4
receiving,81,80.43,84.58,8.458,605.0664079,1.33E-01,90,amb,10
receiving,82,77.92,80.92,8.092,529.8679147,1.47E-01,90,hw,19
receiving,83,91.96,83.77,8.377,587.8486786,1.56E-01,90,amb,20
receiving,84,88.7,86.82,8.682,654.4241906,1.36E-01,90,hw,19
receiving,85,87.23,83.61,8.361,584.4867499,1.49E-01,90,amb,20
receiving,86,103.35,85.95,8.595,634.9472449,1.63E-01,90,hw,6
receiving,87,76.05,86.52,8.652,647.6636638,1.17E-01,90,amb,10
receiving,88,85.71,86.84,8.684,654.8765575,1.31E-01,90,amb,20
receiving,89,85.13,82.55,8.255,562.5371814,1.51E-01,90,hw,4
receiving,90,93.76,83.02,8.302,572.2004396,1.64E-01,90,hw,6
prehw,1,3.17,28.48,2.848,23.10042419,1.37E-01,30,hw,8
prehw,2,6.18,37,3.7,50.653,1.22E-01,30,hw,15
prehw,3,9.41,40,4,64,1.47E-01,30,amb,7
prehw,4,8.6,39.54,3.954,61.81729466,1.39E-01,30,hw,13
prehw,5,6.33,35.69,3.569,45.46106901,1.39E-01,30,amb,14
prehw,6,7.66,39.07,3.907,59.63898364,1.28E-01,30,amb,18
prehw,7,5.89,33.08,3.308,36.19899411,1.63E-01,30,amb,18
prehw,8,9.09,38.64,3.864,57.69143654,1.58E-01,30,hw,15
prehw,9,4.28,31.55,3.155,31.40494888,1.36E-01,30,amb,14
prehw,10,7.02,37.81,3.781,54.05302854,1.30E-01,30,hw,13
prehw,11,4.58,32.88,3.288,35.54638387,1.29E-01,30,hw,8
prehw,12,7.74,38.37,3.837,56.49049725,1.37E-01,30,amb,18
prehw,13,9.32,39.91,3.991,63.56897127,1.47E-01,30,hw,13
prehw,14,5.77,34.98,3.498,42.80154199,1.35E-01,30,amb,14
prehw,15,8.63,40.22,4.022,65.06181865,1.33E-01,30,hw,8
prehw,16,6.84,36.14,3.614,47.20243954,1.45E-01,30,hw,13
prehw,17,4.16,30.92,3.092,29.56095469,1.41E-01,30,hw,15
prehw,18,7.25,37.24,3.724,51.64508742,1.40E-01,30,amb,14
prehw,19,4.26,30.96,3.096,29.67582874,1.44E-01,30,amb,7
prehw,20,7.09,37.85,3.785,54.22476163,1.31E-01,30,hw,8
prehw,21,4.34,32.26,3.226,33.57322718,1.29E-01,30,amb,7
prehw,22,8.84,39.43,3.943,61.30280281,1.44E-01,30,hw,15
prehw,23,4,31,3.1,29.791,1.34E-01,30,hw,8
prehw,24,8.46,39.77,3.977,62.90233583,1.34E-01,30,hw,15
prehw,25,4.98,33.39,3.339,37.22624722,1.34E-01,30,amb,14
prehw,26,7.5,39.19,3.919,60.19020056,1.25E-01,30,amb,7
prehw,27,5.05,33.33,3.333,37.02592704,1.36E-01,30,amb,7
prehw,28,6.11,35.35,3.535,44.17415538,1.38E-01,30,hw,13
prehw,29,4.42,31.82,3.182,32.21814457,1.37E-01,30,amb,18
prehw,30,5.2,34.28,3.428,40.28305875,1.29E-01,30,amb,18
prehw,31,28.22,62.59,6.259,245.196832,1.15E-01,60,amb,5
prehw,32,28.46,56.5,5.65,180.362125,1.58E-01,60,hw,17
prehw,33,28.45,61.03,6.103,227.3160547,1.25E-01,60,amb,9
prehw,34,27.85,62.6,6.26,245.314376,1.14E-01,60,amb,5
prehw,35,25.44,58.21,5.821,197.2390027,1.29E-01,60,amb,11
prehw,36,29.72,62.68,6.268,246.2560808,1.21E-01,60,amb,5
prehw,37,29.08,63.77,6.377,259.3279046,1.12E-01,60,amb,9
prehw,38,25.2,57.51,5.751,190.2085798,1.32E-01,60,hw,17
prehw,39,24.53,57.8,5.78,193.100552,1.27E-01,60,hw,17
prehw,40,25.05,59.92,5.992,215.1371515,1.16E-01,60,hw,16
prehw,41,27.16,57.39,5.739,189.0203984,1.44E-01,60,hw,16
prehw,42,29.6,59.95,5.995,215.4604499,1.37E-01,60,amb,5
prehw,43,30.48,60.35,6.035,219.8020929,1.39E-01,60,hw,16
prehw,44,35.24,63.35,6.335,254.2376454,1.39E-01,60,hw,12
prehw,45,27.14,57.78,5.778,192.900171,1.41E-01,60,hw,17
prehw,46,31.24,57.98,5.798,194.9102296,1.60E-01,60,amb,9
prehw,47,32.61,62.99,6.299,249.9279489,1.30E-01,60,amb,11
prehw,48,24.7,57.6,5.76,191.102976,1.29E-01,60,amb,9
prehw,49,31.28,60.8,6.08,224.755712,1.39E-01,60,amb,11
prehw,50,36.37,64.27,6.427,265.4757765,1.37E-01,60,amb,9
prehw,51,23.39,56.98,5.698,184.9981284,1.26E-01,60,hw,12
prehw,52,29.2,63.38,6.338,254.5990065,1.15E-01,60,hw,17
prehw,53,25.06,59.27,5.927,208.211533,1.20E-01,60,hw,12
prehw,54,29.72,63.35,6.335,254.2376454,1.17E-01,60,hw,12
prehw,55,28.05,59.04,5.904,205.7970033,1.36E-01,60,hw,16
prehw,56,30.5,59.48,5.948,210.4325314,1.45E-01,60,amb,11
prehw,57,32.17,59.87,5.987,214.5990398,1.50E-01,60,amb,11
prehw,58,24.72,57.96,5.796,194.7085983,1.27E-01,60,hw,12
prehw,59,28.25,58.3,5.83,198.155287,1.43E-01,60,amb,5
prehw,60,22.42,58.56,5.856,200.818262,1.12E-01,60,hw,16
prehw,61,85.3,82.92,8.292,570.1352331,1.50E-01,90,hw,4
prehw,62,87.86,84.43,8.443,601.8529143,1.46E-01,90,amb,20
prehw,63,82.66,83.17,8.317,575.307591,1.44E-01,90,amb,10
prehw,64,76.73,78.16,7.816,477.4783145,1.61E-01,90,amb,10
prehw,65,89.79,84.45,8.445,602.2807211,1.49E-01,90,hw,6
prehw,66,77.52,84.28,8.428,598.6508188,1.29E-01,90,amb,3
prehw,67,78.88,82.92,8.292,570.1352331,1.38E-01,90,hw,6
prehw,68,69.88,81.97,8.197,550.7630614,1.27E-01,90,amb,3
prehw,69,86.75,86.3,8.63,642.735647,1.35E-01,90,amb,3
prehw,70,84.45,81.37,8.137,538.7570274,1.57E-01,90,hw,19
prehw,71,85.41,81.62,8.162,543.7381075,1.57E-01,90,hw,19
prehw,72,89.12,83.16,8.316,575.1000985,1.55E-01,90,hw,4
prehw,73,83.72,84.47,8.447,602.7087306,1.39E-01,90,amb,20
prehw,74,84.17,82.66,8.266,564.7889651,1.49E-01,90,amb,3
prehw,75,92.75,83.62,8.362,584.6964939,1.59E-01,90,hw,19
prehw,76,78.15,85.23,8.523,619.1237517,1.26E-01,90,amb,3
prehw,77,85.4,85.19,8.519,618.2524624,1.38E-01,90,hw,6
prehw,78,84.91,85.46,8.546,624.1495553,1.36E-01,90,hw,4
prehw,79,80.1,82.81,8.281,567.869252,1.41E-01,90,amb,10
prehw,80,80.08,80.74,8.074,526.3398292,1.52E-01,90,hw,4
prehw,81,80.73,84.6,8.46,605.495736,1.33E-01,90,amb,10
prehw,82,78.57,80.48,8.048,521.2714066,1.51E-01,90,hw,19
prehw,83,82.28,83.73,8.373,587.0069911,1.40E-01,90,amb,20
prehw,84,87.21,86.85,8.685,655.1028191,1.33E-01,90,hw,19
prehw,85,81.56,83.77,8.377,587.8486786,1.39E-01,90,amb,20
prehw,86,104.86,85.65,8.565,628.3217621,1.67E-01,90,hw,6
prehw,87,81.75,86.68,8.668,651.2634536,1.26E-01,90,amb,10
prehw,88,92.18,86.88,8.688,655.7819167,1.41E-01,90,amb,20
prehw,89,83.82,82.43,8.243,560.0875249,1.50E-01,90,hw,4
prehw,90,81.45,83.22,8.322,576.3458022,1.41E-01,90,hw,6
posthw,1,3.75,30.91,3.091,29.53228257,1.27E-01,30,hw,8
posthw,2,6.76,38.82,3.882,58.50144497,1.16E-01,30,hw,15
posthw,3,11.09,44.45,4.445,87.82442113,1.26E-01,30,amb,7
posthw,5,7.82,35.97,3.597,46.53945717,1.68E-01,30,amb,14
posthw,6,9.81,41.96,4.196,73.87652154,1.33E-01,30,amb,18
posthw,7,6.8,36.81,3.681,49.87667024,1.36E-01,30,amb,18
posthw,8,10.51,43.2,4.32,80.621568,1.30E-01,30,hw,15
posthw,9,5.27,33.51,3.351,37.62905255,1.40E-01,30,amb,14
posthw,11,5.43,34.5,3.45,41.063625,1.32E-01,30,hw,8
