tank_ID,abalone_number,abalone_full_label,umol.L.sec,block,size_class,treatment,weight,chamber.channel,temp,period,umol.gram.hr,Rate.ln
8,1,ab1_hw_channel10_trial5_final_12_12_20_O2,-0.00679268,C5,30,hw,0.445458,10,17.5,final ,34826.18623,10.45812773
18,12,ab12_amb_channel7_trial4_final_12_11_20_O2,-0.016687587,C4,30,amb,1.11966,7,17.5,final ,32875.44729,10.40048442
14,14,ab14_amb_channel6_trial4_final_12_11_20_O2,-0.01030481,C4,30,amb,0.758145,6,17.5,final ,29902.79954,10.30571073
15,17,ab17_hw_channel1_trial1_final_12_11_20_O2,-0.008552724,C1,30,hw,0.526212,1,17.5,final ,35546.86717,10.47861012
14,18,ab18_amb_channel3_trial3_final_12_11_20_O2,-0.013959205,C3,30,amb,0.991017,3,17.5,final ,31126.03335,10.34580305
7,19,ab19_amb_channel7_trial6_final_12_12_20_O2,-0.009694406,C6,30,amb,0.56565,7,17.5,final ,36870.44912,10.51516838
15,2,ab2_hw_channel3_trial5_final_12_12_20_O2,-0.010526475,C5,30,hw,0.737487,3,17.5,final ,32425.45417,10.3867021
8,20,ab20_hw_channel4_trial2_final_12_11_20_O2,-0.014950078,C2,30,hw,0.907446,4,17.5,final ,36666.79282,10.50962952
7,21,ab21_amb_channel7_trial7_final_12_12_20_O2,-0.009230419,C7,30,amb,0.489591,7,17.5,final ,39811.62166,10.59191666
15,22,ab22_hw_channel5_trial5_final_12_12_20_O2,-0.013945141,C5,30,hw,0.954396,5,17.5,final ,33126.40426,10.40808897
15,24,ab24_hw_channel7_trial1_final_12_11_20_O2,-0.01282675,C1,30,hw,1.055808,7,17.5,final ,27247.54447,10.21272235
14,25,ab25_amb_channel9_trial4_final_12_11_20_O2,-0.013204109,C4,30,amb,0.749694,9,17.5,final ,39024.8629,10.57195679
7,26,ab26_amb_channel3_trial6_final_12_12_20_O2,-0.01155037,C6,30,amb,0.905568,3,17.5,final ,27816.61763,10.23339247
7,27,ab27_amb_channel9_trial7_final_12_12_20_O2,-0.010668628,C7,30,amb,0.617295,9,17.5,final ,36830.96605,10.51409695
